Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type
"C1, C2",2,4.7u,RC_0603,,,,smt
"C10, C3, C34, C9",4,1u,RC_0603,,,,smt
"C100, C101, C102, C103, C104, C105, C106, C107, C108, C109, C110, C111, C112, C113, C114, C115, C116, C117, C118, C119, C120, C121, C122, C123, C124, C125, C126, C127, C128, C129, C130, C131, C132, C133, C134, C135, C136, C137, C138, C139, C140, C141, C142, C143, C144, C145, C146, C147, C148, C149, C15, C150, C151, C152, C153, C154, C155, C156, C157, C158",60,100n,RC_0402,,,,smt
"C11, C12, C32, C33, C5, C8",6,100n,RC_0603,,,,smt
"C13, C14",2,18p,RC_0603,,,,smt
"C19, C4, C7",3,10u,RC_0603,,,,smt
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D7, D8, D9",59,1N4148W,D_SOD-123_Back,,,,smt
D60,1,B5819W,D_SOD-123_Back,,,,smt
J1,1,TYPE-C-31-M-12,USB_C_Receptacle_HRO_TYPE-C-31-M-12,,,,smt
J2,1,Battery JST-SH,JST_SH_SM02B_2pin_Back,,,,smt
LED1,1,CHG,LED_0603,,,,smt
Q1,1,DMG3415U,SOT-23,,,,smt
"R1, R2",2,5.1k,RC_0603,,,,smt
"R10, R11",2,330,RC_0603,,,,smt
R14,1,470,RC_0603,,,,smt
R15,1,10k,RC_0603,,,,smt
R3,1,2.0k,RC_0603,,,,smt
"R4, R9",2,1k,RC_0603,,,,smt
R5,1,100k,RC_0603,,,,smt
"R6, R7",2,1M,RC_0603,,,,smt
"RGB1, RGB10, RGB11, RGB12, RGB13, RGB14, RGB15, RGB16, RGB17, RGB18, RGB19, RGB2, RGB20, RGB21, RGB22, RGB23, RGB24, RGB25, RGB26, RGB27, RGB28, RGB29, RGB3, RGB30, RGB31, RGB32, RGB33, RGB34, RGB35, RGB36, RGB37, RGB38, RGB39, RGB4, RGB40, RGB41, RGB42, RGB43, RGB44, RGB45, RGB46, RGB47, RGB48, RGB49, RGB5, RGB50, RGB51, RGB52, RGB53, RGB54, RGB55, RGB56, RGB57, RGB58, RGB59, RGB6, RGB7, RGB8, RGB9",59,SK6812MINI-E,SK6812MINI_E,,,,smt
"SW1, SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW17, SW18, SW19, SW2, SW20, SW21, SW22, SW23, SW24, SW25, SW26, SW27, SW28, SW29, SW3, SW30, SW31, SW32, SW33, SW34, SW35, SW36, SW37, SW38, SW39, SW4, SW40, SW41, SW42, SW43, SW44, SW45, SW46, SW47, SW48, SW49, SW5, SW50, SW51, SW52, SW53, SW54, SW55, SW56, SW57, SW58, SW59, SW6, SW7, SW8, SW9",59,KS-2P02B01-02,SW_Gateron_KS33_HS,,,,smt
SW60,1,RESET,SW_PUSH_6mm_THT,,,,tht
SW61,1,BOOTSEL,SW_PUSH_6mm_THT,,,,tht
SW62,1,PWR MSK-12C02,SW_Slide_MSK12C02,,,,smt
U1,1,RP2040,RP2040_QFN56,,,,smt
U2,1,MCP73831,SOT-23-5,,,,smt
U3,1,AP2112K-3.3,SOT-23-5,,,,smt
U4,1,USBLC6-2SC6,SOT-23-6,,,,smt
U5,1,W25Q16JVUXIQ,FLASH_USON8,,,,smt
U6,1,RM2,RM2_RMC20452T,,,,smt
U7,1,SN74AHCT1G125DBVR,SOT-23-5,,,,smt
Y1,1,12MHz,XTAL_3225,,,,smt
